filename	GT_1_id	GT_1_aligned_lines_count	GT_2_id	GT_2_aligned_lines_count	GT_3_id	GT_3_aligned_lines_count	GT_4_id	GT_4_aligned_lines_count	GT_5_id	GT_5_aligned_lines_count
IE61220167_00084.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9	Siddur_Ashkenaz_clean_concatenated.txt	8	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8		
IE87234800_00004.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	17	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	17	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	16	MT_NoVoc_concatenated.txt	8		
IE87234800_00005.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	21	Siddur_Ashkenaz_clean_concatenated.txt	17		
IE87297122_00014.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	MT_NoVoc_concatenated.txt	2	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	2		
IE87363222_00008.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	MT_NoVoc_concatenated.txt	13	Siddur_Ashkenaz_clean_concatenated.txt	12	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10
IE87447950_00011.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10				
IE87447950_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	MT_NoVoc_concatenated.txt	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Siddur_Ashkenaz_clean_concatenated.txt	9
IE87447950_00018.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	20	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	20	Siddur_Ashkenaz_clean_concatenated.txt	20	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	17		
IE87474895_00014.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3				
IE87474895_00044.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	27	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	27	Siddur_Ashkenaz_clean_concatenated.txt	25	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	15		
IE87502633_00018.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10				
IE87502633_00044.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	20	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	20	MT_NoVoc_concatenated.txt	20	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	20	Siddur_Ashkenaz_clean_concatenated.txt	19
IE87532920_00026.xml	MT_NoVoc_concatenated.txt	24	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	16	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	15	Siddur_Ashkenaz_clean_concatenated.txt	15	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	14
IE87580382_00008.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	3				
IE87580382_00041.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	20	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Siddur_Ashkenaz_clean_concatenated.txt	12		
IE87581919_00016.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	20	Siddur_Ashkenaz_clean_concatenated.txt	20	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	19	MT_NoVoc_concatenated.txt	18
IE87581919_00018.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8	MT_NoVoc_concatenated.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	5
IE87582245_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	23	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	23	MT_NoVoc_concatenated.txt	23	Siddur_Ashkenaz_clean_concatenated.txt	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23
IE87610546_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	6	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	MT_NoVoc_concatenated.txt	4	Siddur_Ashkenaz_clean_concatenated.txt	2
IE87690674_00007.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	4	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	1		
IE87705971_00006.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	10				
IE87705976_00034.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7				
IE87705976_00036.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	11	MT_NoVoc_concatenated.txt	10	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6
IE87708411_00021.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	21	MT_NoVoc_concatenated.txt	17
IE87716931_00014.xml	Siddur_Ashkenaz_clean_concatenated.txt	14	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	14	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8		
IE87717323_00012.xml	MT_NoVoc_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	Siddur_Ashkenaz_clean_concatenated.txt	9	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	6
IE87719995_00046.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8		
IE87719995_00053.xml	Siddur_Ashkenaz_clean_concatenated.txt	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	MT_NoVoc_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8
IE87726132_00023.xml	MT_NoVoc_concatenated.txt	22	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	14	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	14	Siddur_Ashkenaz_clean_concatenated.txt	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12
IE87744435_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	21	MT_NoVoc_concatenated.txt	15	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10				
IE87744435_00039.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	MT_NoVoc_concatenated.txt	20	Siddur_Ashkenaz_clean_concatenated.txt	19
IE87752740_00019.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	11	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9		
IE87752740_00022.xml	Siddur_Ashkenaz_clean_concatenated.txt	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12		
IE87755510_00024.xml	Siddur_Ashkenaz_clean_concatenated.txt	16	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	16	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	15	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	15		
IE87708411_00019.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Siddur_Ashkenaz_clean_concatenated.txt	5		
IE61220167_00083.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6	MT_NoVoc_concatenated.txt	4						
IE61220167_00097.xml	MT_NoVoc_concatenated.txt	7	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6				
IE87519524_00013.xml	Siddur_Ashkenaz_clean_concatenated.txt	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	18	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3	MT_NoVoc_concatenated.txt	2		
IE87675634_00010.xml	Siddur_Ashkenaz_clean_concatenated.txt	8	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	4				
IE87700963_00014.xml	Siddur_Ashkenaz_clean_concatenated.txt	11	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	MT_NoVoc_concatenated.txt	2		
IE87739615_00009.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	Siddur_Ashkenaz_clean_concatenated.txt	9	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	MT_NoVoc_concatenated.txt	2		
IE87752740_00038.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10						
IE103402206_00010.xml	MT_NoVoc_concatenated.txt	11								
IE103402206_00014.xml	MT_NoVoc_concatenated.txt	9								
IE103409244_00025.xml	MT_NoVoc_concatenated.txt	27								
IE87476216_00051.xml	MT_NoVoc_concatenated.txt	21	Siddur_Ashkenaz_clean_concatenated.txt	4	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4				
IE87508468_00031.xml	MT_NoVoc_concatenated.txt	14	Siddur_Ashkenaz_clean_concatenated.txt	12	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12				
IE87675634_00007.xml	MT_NoVoc_concatenated.txt	4	Siddur_Ashkenaz_clean_concatenated.txt	2	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	2				
IE87733114_00006.xml	Siddur_Ashkenaz_clean_concatenated.txt	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	18	MT_NoVoc_concatenated.txt	12				
IE87733114_00007.xml	MT_NoVoc_concatenated.txt	7	Siddur_Ashkenaz_clean_concatenated.txt	7	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7				
IE87234800_00003.xml	MT_NoVoc_concatenated.txt	3	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	1						
IE87581919_00011.xml	Siddur_Ashkenaz_clean_concatenated.txt	3	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3						
IE87694978_00020.xml	Siddur_Ashkenaz_clean_concatenated.txt	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22						
IE87733114_00008.xml	Siddur_Ashkenaz_clean_concatenated.txt	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23						
IE87555665_00021.xml	Siddur_Ashkenaz_clean_concatenated.txt	6	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6						
