filename	GT_id	max_aligned_clusters_size
IE103336373_00043.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6
IE103336373_00043.xml	MT_NoVoc_concatenated.txt	6
IE103336373_00043.xml	Siddur_Ashkenaz_clean_concatenated.txt	6
IE103336373_00043.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4
IE103336373_00043.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	4
IE103402206_00010.xml	MT_NoVoc_concatenated.txt	11
IE103402206_00014.xml	MT_NoVoc_concatenated.txt	9
IE103409244_00025.xml	MT_NoVoc_concatenated.txt	14
IE108110062_00015.xml	MT_NoVoc_concatenated.txt	3
IE21442926_00014.xml	MT_NoVoc_concatenated.txt	23
IE36628376_00046.xml	MT_NoVoc_concatenated.txt	14
IE61220167_00083.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5
IE61220167_00083.xml	MT_NoVoc_concatenated.txt	2
IE61220167_00084.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9
IE61220167_00084.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9
IE61220167_00084.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8
IE61220167_00084.xml	Siddur_Ashkenaz_clean_concatenated.txt	8
IE61220167_00097.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5
IE61220167_00097.xml	Siddur_Ashkenaz_clean_concatenated.txt	5
IE61220167_00097.xml	MT_NoVoc_concatenated.txt	3
IE87234800_00003.xml	MT_NoVoc_concatenated.txt	3
IE87234800_00003.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	1
IE87234800_00004.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8
IE87234800_00004.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8
IE87234800_00004.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8
IE87234800_00004.xml	MT_NoVoc_concatenated.txt	6
IE87234800_00005.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22
IE87234800_00005.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22
IE87234800_00005.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12
IE87234800_00005.xml	Siddur_Ashkenaz_clean_concatenated.txt	9
IE87297122_00014.xml	MT_NoVoc_concatenated.txt	2
IE87297122_00014.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2
IE87297122_00014.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2
IE87297122_00014.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	2
IE87363222_00008.xml	MT_NoVoc_concatenated.txt	14
IE87363222_00008.xml	Siddur_Ashkenaz_clean_concatenated.txt	14
IE87363222_00008.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12
IE87363222_00008.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10
IE87363222_00008.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	10
IE87447950_00011.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6
IE87447950_00011.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	6
IE87447950_00011.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6
IE87447950_00015.xml	MT_NoVoc_concatenated.txt	10
IE87447950_00015.xml	Siddur_Ashkenaz_clean_concatenated.txt	8
IE87447950_00015.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8
IE87447950_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	7
IE87447950_00015.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6
IE87447950_00018.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	17
IE87447950_00018.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	17
IE87447950_00018.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	17
IE87447950_00018.xml	Siddur_Ashkenaz_clean_concatenated.txt	17
IE87474895_00014.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4
IE87474895_00014.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4
IE87474895_00014.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2
IE87474895_00044.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	27
IE87474895_00044.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	27
IE87474895_00044.xml	Siddur_Ashkenaz_clean_concatenated.txt	17
IE87474895_00044.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10
IE87476216_00051.xml	MT_NoVoc_concatenated.txt	18
IE87476216_00051.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4
IE87476216_00051.xml	Siddur_Ashkenaz_clean_concatenated.txt	4
IE87502633_00018.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5
IE87502633_00018.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5
IE87502633_00018.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5
IE87502633_00044.xml	MT_NoVoc_concatenated.txt	18
IE87502633_00044.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	17
IE87502633_00044.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	17
IE87502633_00044.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	17
IE87502633_00044.xml	Siddur_Ashkenaz_clean_concatenated.txt	8
IE87508468_00031.xml	MT_NoVoc_concatenated.txt	14
IE87508468_00031.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12
IE87508468_00031.xml	Siddur_Ashkenaz_clean_concatenated.txt	12
IE87519524_00013.xml	Siddur_Ashkenaz_clean_concatenated.txt	10
IE87519524_00013.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10
IE87519524_00013.xml	MT_NoVoc_concatenated.txt	3
IE87519524_00013.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3
IE87532920_00026.xml	MT_NoVoc_concatenated.txt	24
IE87532920_00026.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	16
IE87532920_00026.xml	Siddur_Ashkenaz_clean_concatenated.txt	14
IE87532920_00026.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13
IE87532920_00026.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6
IE87555665_00021.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6
IE87555665_00021.xml	Siddur_Ashkenaz_clean_concatenated.txt	6
IE87580382_00008.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5
IE87580382_00008.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5
IE87580382_00008.xml	MT_NoVoc_concatenated.txt	3
IE87580382_00041.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13
IE87580382_00041.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13
IE87580382_00041.xml	Siddur_Ashkenaz_clean_concatenated.txt	13
IE87580382_00041.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13
IE87581919_00011.xml	Siddur_Ashkenaz_clean_concatenated.txt	3
IE87581919_00011.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3
IE87581919_00016.xml	Siddur_Ashkenaz_clean_concatenated.txt	19
IE87581919_00016.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	19
IE87581919_00016.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	19
IE87581919_00016.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	19
IE87581919_00016.xml	MT_NoVoc_concatenated.txt	10
IE87581919_00018.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5
IE87581919_00018.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5
IE87581919_00018.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	4
IE87581919_00018.xml	Siddur_Ashkenaz_clean_concatenated.txt	4
IE87581919_00018.xml	MT_NoVoc_concatenated.txt	3
IE87582245_00015.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23
IE87582245_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	23
IE87582245_00015.xml	Siddur_Ashkenaz_clean_concatenated.txt	23
IE87582245_00015.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	23
IE87582245_00015.xml	MT_NoVoc_concatenated.txt	23
IE87610546_00015.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5
IE87610546_00015.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5
IE87610546_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5
IE87610546_00015.xml	MT_NoVoc_concatenated.txt	4
IE87610546_00015.xml	Siddur_Ashkenaz_clean_concatenated.txt	2
IE87675634_00007.xml	MT_NoVoc_concatenated.txt	3
IE87675634_00007.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3
IE87675634_00007.xml	Siddur_Ashkenaz_clean_concatenated.txt	3
IE87675634_00010.xml	Siddur_Ashkenaz_clean_concatenated.txt	4
IE87675634_00010.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4
IE87675634_00010.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3
IE87690674_00007.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10
IE87690674_00007.xml	Siddur_Ashkenaz_clean_concatenated.txt	10
IE87690674_00007.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3
IE87690674_00007.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	1
IE87694978_00020.xml	Siddur_Ashkenaz_clean_concatenated.txt	17
IE87694978_00020.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	17
IE87700963_00014.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7
IE87700963_00014.xml	Siddur_Ashkenaz_clean_concatenated.txt	7
IE87700963_00014.xml	MT_NoVoc_concatenated.txt	2
IE87700963_00014.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2
IE87705971_00006.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12
IE87705971_00006.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10
IE87705971_00006.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	10
IE87705976_00034.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5
IE87705976_00034.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5
IE87705976_00034.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3
IE87705976_00036.xml	Siddur_Ashkenaz_clean_concatenated.txt	6
IE87705976_00036.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	6
IE87705976_00036.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6
IE87705976_00036.xml	MT_NoVoc_concatenated.txt	5
IE87705976_00036.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4
IE87708411_00019.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5
IE87708411_00019.xml	Siddur_Ashkenaz_clean_concatenated.txt	4
IE87708411_00019.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2
IE87708411_00019.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2
IE87708411_00021.xml	Siddur_Ashkenaz_clean_concatenated.txt	22
IE87708411_00021.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22
IE87708411_00021.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22
IE87708411_00021.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13
IE87708411_00021.xml	MT_NoVoc_concatenated.txt	9
IE87716931_00014.xml	Siddur_Ashkenaz_clean_concatenated.txt	11
IE87716931_00014.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10
IE87716931_00014.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5
IE87716931_00014.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2
IE87717323_00012.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9
IE87717323_00012.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9
IE87717323_00012.xml	Siddur_Ashkenaz_clean_concatenated.txt	9
IE87717323_00012.xml	MT_NoVoc_concatenated.txt	8
IE87717323_00012.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4
IE87719995_00046.xml	Siddur_Ashkenaz_clean_concatenated.txt	8
IE87719995_00046.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8
IE87719995_00046.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8
IE87719995_00046.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8
IE87719995_00053.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	15
IE87719995_00053.xml	Siddur_Ashkenaz_clean_concatenated.txt	15
IE87719995_00053.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8
IE87719995_00053.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8
IE87719995_00053.xml	MT_NoVoc_concatenated.txt	7
IE87726132_00023.xml	MT_NoVoc_concatenated.txt	22
IE87726132_00023.xml	Siddur_Ashkenaz_clean_concatenated.txt	12
IE87726132_00023.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12
IE87726132_00023.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12
IE87726132_00023.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7
IE87733114_00006.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10
IE87733114_00006.xml	Siddur_Ashkenaz_clean_concatenated.txt	10
IE87733114_00006.xml	MT_NoVoc_concatenated.txt	9
IE87733114_00006.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	1
IE87733114_00007.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6
IE87733114_00007.xml	Siddur_Ashkenaz_clean_concatenated.txt	6
IE87733114_00007.xml	MT_NoVoc_concatenated.txt	5
IE87733114_00007.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	1
IE87733114_00008.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23
IE87733114_00008.xml	Siddur_Ashkenaz_clean_concatenated.txt	23
IE87739615_00009.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7
IE87739615_00009.xml	Siddur_Ashkenaz_clean_concatenated.txt	6
IE87739615_00009.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2
IE87739615_00009.xml	MT_NoVoc_concatenated.txt	2
IE87744435_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11
IE87744435_00015.xml	MT_NoVoc_concatenated.txt	10
IE87744435_00015.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7
IE87744435_00039.xml	Siddur_Ashkenaz_clean_concatenated.txt	19
IE87744435_00039.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	18
IE87744435_00039.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	18
IE87744435_00039.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	18
IE87744435_00039.xml	MT_NoVoc_concatenated.txt	14
IE87752740_00019.xml	Siddur_Ashkenaz_clean_concatenated.txt	11
IE87752740_00019.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11
IE87752740_00019.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11
IE87752740_00019.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4
IE87752740_00022.xml	Siddur_Ashkenaz_clean_concatenated.txt	13
IE87752740_00022.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13
IE87752740_00022.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13
IE87752740_00022.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	7
IE87752740_00038.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13
IE87752740_00038.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8
IE87755510_00024.xml	Siddur_Ashkenaz_clean_concatenated.txt	16
IE87755510_00024.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	16
IE87755510_00024.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12
IE87755510_00024.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12
